word,length,arousal,valence,dominance,concreteness,imageability,familiarity,aoa,semsize,gender
pass (move past),4,4.000,5.143,5.714,4.086,4.343,5.571,3.200,3.618,3.886
pass (permission),4,3.818,6.242,4.182,3.970,3.000,5.313,4.030,4.061,3.697
pass (route),4,3.143,5.235,5.514,4.914,4.382,4.171,4.057,3.588,4.286
patch (area),5,2.912,4.909,5.118,5.147,4.943,4.559,3.743,3.294,4.088
patch (repair),5,3.647,6.177,5.647,5.059,5.344,4.531,4.412,3.059,4.441
patient (medical),7,4.324,4.333,3.529,5.886,5.500,5.677,3.971,4.206,4.029
patient (tolerant),7,3.941,7.029,4.941,2.743,2.971,6.118,4.114,4.514,3.000
peer (colleague),4,4.719,5.909,5.212,5.636,5.400,5.406,5.677,3.844,3.939
peer (look),4,4.559,5.265,5.114,3.882,4.294,4.485,4.257,2.971,3.677
pen (cage),3,3.313,4.000,3.486,5.914,5.765,4.265,4.029,2.469,4.303
pen (ink),3,3.941,5.429,5.571,6.324,6.088,6.677,2.371,2.057,4.486
pepper (black),6,3.941,5.171,5.471,6.500,6.371,6.030,3.882,2.091,5.143
pepper (lightly cover),6,3.849,5.455,5.438,4.469,5.000,3.939,5.088,2.310,3.613
pepper (vegetable),6,3.457,5.457,5.229,6.588,6.818,6.281,3.657,2.455,3.765
periodical (intermittent),10,3.310,5.161,4.172,2.931,2.531,3.882,6.364,3.867,4.226
periodical (newspaper),10,3.355,5.267,4.733,5.793,5.167,2.939,6.242,4.233,4.931
pickle (difficulty),6,4.188,3.121,3.875,2.970,3.063,4.364,4.242,3.781,3.781
pickle (preserve),6,3.235,5.152,5.156,5.576,4.849,3.941,4.559,2.364,3.941
pine (long for),4,5.485,3.818,3.514,2.303,3.485,4.406,5.735,5.000,3.091
pine (tree/wood),4,3.970,5.606,5.647,6.516,6.485,4.938,4.000,4.758,4.529
pint (beer),4,4.829,5.743,5.471,6.794,6.906,6.394,5.118,3.273,5.758
pint (volume),4,4.606,5.514,5.147,5.943,5.829,6.059,4.829,3.600,5.441
pipe (tobacco),4,3.625,4.030,5.121,6.576,6.576,4.969,4.455,2.939,5.909
pipe (water),4,2.600,5.118,4.857,6.529,6.171,5.114,3.343,3.457,4.457
pitch (field of play),5,3.849,5.629,5.818,6.063,6.143,5.371,3.486,5.152,5.714
